Assessment Stage,Competency,"Level 1:
Basic Basic awareness and foundational knowledge. Requires close supervision and detailed guidance.","Level 2:
Intermediate Working knowledge and consistent application. Needs periodic supervision and support for complex tasks.","Level 3:
Advanced Comprehensive understanding and independent application. Can handle most complex situations and guide others.","Level 4:
Expert Complete mastery, innovation, and leadership. Sets standards, develops new approaches, and mentors others."
Portfolio,Craft & Visual Design:,"• Designs are outdated, inconsistent, or low-quality. • Layouts are cluttered, typography and color are weak, and interactive elements are non-functional or missing. • Portfolio is poorly organized or unprofessional.","• Visual execution is inconsistent. • Layout and hierarchy feel uneven; prototypes or animations are rough. • Portfolio is functional but carelessly presented, with at least 3 projects from the last 6 years and coverage of both desktop and mobile designs.","• Portfolio is professional. • Visual craft is strong, with polished animations, prototypes, and videos demonstrating good taste. • Includes multiple projects, both professional and personal, reflecting a variety of design experience.","• Portfolio portrays a highly proactive and versatile designer. • Beyond excellent visual craft, the work demonstrates a curiosity to learn and experiment—incorporating motion, new tools, or varied styles. • Projects show a ""builder mindset,"" where the designer pushes beyond the basic brief to elevate the final product feel through high-fidelity prototyping and creative exploration."
,Product Sense & Strategy:,• Shows little or no understanding of business context. • Problem is unclear. • Design decisions are disconnected from business goals. • Impact is vague or unsupported.,"• Shows some awareness of business context, but connections to outcomes are weak or inconsistent. • Projects tackle a small surface with limited revenue or impact. • Problem and business goals are partially defined, and impact is mentioned but not validated.",• Clear understanding of the problem and business context for the assigned scope. • Design decisions are visibly connected to the stated goals. • The portfolio includes basic success metrics (quantitative or qualitative) or user feedback to validate the work.,"• Demonstrates strong product thinking. • The designer connects their specific feature work to broader business objectives or metrics (e.g., retention, conversion). • Shows initiative by referencing competitor analysis or data to justify decisions, proving they look beyond the immediate ticket."
,Communication,"• Builds the foundation. • Communication is unclear or incomplete. • Explanations are missing or vague. • Design decisions are not justified. • Writing is poor, and hard to navigate.","• Communication shows some structure but lacks depth or consistency. • Explanations are partial or overly wordy, suggesting excessive reliance on AI-generated text.","• Communication is structured and logical. • Case studies follow a clear narrative arc (e.g., Problem → Solution →Result) without unnecessary fluff. • Explanations of why decisions were made are present. • May include a walkthrough video or clear visual summaries to aid understanding.","• Communication is engaging and dynamic. • The designer moves beyond static text, proactively using formats like short video walkthroughs, GIFs, or interactive demos to simulate the final experience. • The narrative clearly articulates the ""why"" behind decisions, demonstrating a deep ownership of the project from start to finish."
,User-centered problem solving,• Little to no evidence of user-centered thinking. • Problem is unclear. • Process steps and validation are missing. • Edge cases are ignored. • Artifacts such as screenshots of post-its or FigJam boards are unreadable or pixelated.,"• Basic awareness of UX process. • Problem and user context are partially defined. • Research is synthesized to highlight main issues, with some validation of the problem. • Process steps are described superficially.","• Demonstrates structured user-centered problem-solving. • Problem is clearly defined. • The problem is clearly defined, and solutions are grounded in user research or testing. • The process shows a logical progression (exploration,selection,validation). • Design artifacts are clean, readable, and relevant to the story.","• Detailed execution. • Research is synthesized into actionable insights rather than just listed. • The solution considers technical constraints, edge cases, and error states, not just the ""happy path."" • Shows a willingness to iterate based on feedback and challenges assumptions proactively."
Talent interview,Experience and background,"• No product design experience at all; only graphic, marketing, academic or conceptual work.",• Has some product design exposure but only in simple or non-scalable environments; shallow understanding of real product constraints.,• Has real product design experience with ownership of small features; understands user flows and delivers work with guidance.,• Has solid product experience for a mid-level; shows strong fundamentals and has worked on multiple features in real environments with increasing independence.
,Product Sense & Strategy:,• No ability to identify tradeoffs; decisions are arbitrary; lacks understanding of product goals.,• Understands strategy only when clearly explained; struggles to challenge assumptions or propose alternatives.,"• Understands product goals, frames problems, proposes rational solutions, and evaluates tradeoffs effectively.","• Exhibits Staff-level product intuition; consistently anticipates product risks, identifies opportunities, and improves strategy."
,Collaboration,• Struggles working cross-functionally; creates misalignment; cannot negotiate feasibility.,• Collaborates inconsistently; communication is reactive; struggles with engineering tradeoffs.,• Collaborates smoothly and independently with PMs and engineers; negotiates tradeoffs and helps maintain alignment.,• Drives strong collaboration; becomes a go-to partner for PMs/Eng; resolves team tensions and increases clarity.
,Communication,• Communication unclear or confusing; cannot present design decisions effectively.,"• Some clarity but lacks structure, depth, or conciseness; struggles with exec or stakeholder conversations.",• Presents design clearly and persuasively to stakeholders; documents decisions and argues tradeoffs effectively.,"• Craftsmanship-level communicator: clear, concise, persuasive; strong storyteller; could influence leadership."
,Ownership & Drive,• Relies on heavy supervision; avoids ambiguity; cannot handle entire scopes alone.,• Can own tasks but not projects; struggles when problems are ambiguous; inconsistent accountability.,• Fully owns feature scopes end-to-end; handles ambiguity; ensures quality; drives outcomes independently.,"• Shows Staff-level ownership: initiates improvements, drives cross-team alignment, creates clarity in ambiguous spaces."
Case study,Craft & Visual Design:,"• The chosen problem is vague, trivial, or lacks strategic alignment with the app's business goals. • Assumptions about the user are generic, and there's no clear plan for validation.","• Clearly defines a specific, relevant user problem and articulates a reasonable connection to business goals and market position. • Identifies key user flows, assumptions, and proposes a basic, logical validation approach.","• Defines a highly strategic problem that addresses a significant user need and a clear business opportunity. • Proactively integrates external/competitive learnings. • Proposes a comprehensive, insightful validation strategy that minimizes risk.","• Transforms the task's premise by identifying a deeper, systemic root problem or a completely untapped opportunity that drives new business value (e.g., a platform play vs. a feature). • The solution is inherently scalable and sets up future strategic work."
,Product Sense & Strategy:,"• Visual design, layout, or Information Architecture (IA) is inconsistent, inefficient, or lacks a clear, justifiable rationale. • Struggles to utilize the design tool efficiently. • Low output fidelity for the time constraint.","• Delivers a functional prototype with clear visual hierarchy and layout. • Explains design decisions (IA, typography, etc.) with solid, logical rationale. • Demonstrates efficient use of the chosen tool and achieves the stated fidelity goal.","• Demonstrates exceptional efficiency and mastery of the design tool, maximizing output within the time limit. • Visual design is polished, systematic, and shows an understanding of the existing design system. • Proactively identifies and focuses on the core essence/priority area for maximum impact.","• Establishes a new bar for the solution's quality and efficiency. • The execution not only follows the design system but proposes strategic improvements or extensions to the system itself, demonstrating a contribution to the team's infrastructure (e.g., new component or pattern)."
,Collaboration,• Becomes defensive or struggles to articulate how they would integrate feedback. • Communication of rationale is purely aesthetic or unstructured. • Fails to identify system impacts.,"• Accepts feedback gracefully and articulates a considered response/plan for incorporation. • Communicates design rationale clearly, framing it for different team members (PM, Eng). • Identifies the main interaction patterns and potential system impacts.",• The final output can function as an initial pitch that shows the promise of a feature. • It is of decent fidelity that people who can't understand wireframes can feel it and understand where it's going. • The information architecute isn't going to change and visual is decent,"• Frames the design discussion as a strategic conversation, leading the ""stakeholders"" (interviewers) through trade-offs and risks with confidence. • Proactively engineers alignment by defining the success criteria for PM and the technical requirements for Engineering in the design presentation itself."
,Communication,• Poor time management; fails to deliver a working prototype or core flow within the constraint. • Lacks critical self-reflection. • Limited or generic vision for next steps or selling the feature.,"• Manages time effectively to complete the core deliverable. • Articulates clear self-critique and identifies logical areas for future iteration (""if I had more time""). • Proposes a logical next feature and delivers a concise internal/external pitch.","• Demonstrates proactive, continuous self-critique and risk mitigation during the task (e.g., immediately pointing out new issues created by the current solution). • Highly effective time management with clear prioritization. • Visionary outlook, suggesting strategic next features that compound value and demonstrating a strong understanding of product positioning.","• Exhibits end-to-end product ownership and business acumen. • The candidate identifies a long-term roadmap derived from the task, showcasing not just next steps, but concurrent steps and resourcing needs. • Their pitch connects the feature directly to a $ or market impact statement."
,Ownership & Drive,• Cannot articulate a clear reflection on the process. • Blames constraints for shortcomings. • No clear or actionable learning is identified.,"• Reflects on the process, identifying one or two things that went well and one actionable area for improvement (e.g., time management, specific design choice). • Shows an ability to learn from the experience.","• Offers deep and insightful reflection, demonstrating clear self-awareness of approach, strengths, and weaknesses. • Articulates specific, strategic, and actionable changes for a future process. • Clearly connects any preparation done to the final outcome.","• Uses reflection as a teaching moment. • The candidate can articulate universal design principles or frameworks they successfully (or unsuccessfully) applied during the task, providing abstract learnings that could benefit the wider team or product design discipline."
Co working,Product Sense & Strategy:,• Fails to clearly define the problem or user. • Cannot articulate a direct link between the design and measurable business KPIs. • Accepted the brief without question or validation.,"• Clearly defines the problem, target user, and high-level goal. • Articulates the metrics that should be tracked (or were tracked) and their connection to the business. • Showed basic validation efforts.","• Clearly defines the problem, target user, and high-level goal. • Articulates the metrics that should be tracked (or were tracked) and their connection to the business and it's direction • Have a strong validation utilizing AI or research reports to tell the story in a convincing way",• Quantifies impact using specific metrics (KPIs/OKRs) and provides data to support the story. • Demonstrates strategic rigor by proactively seeking data. • Articulated a clear rationale for challenging the initial brief. • Aligns with the compeny's direction and core strengths or articulate diveation.
,Collaboration,"• Design decisions (IA, layout) are arbitrary or based purely on aesthetic preference, lacking a clear rationale. • Prototyping fidelity seems random. • No actively engaging interviewers","• Clearly articulates the ""why"" behind key design decisions (IA, hierarchy, typography), but focusing on self rather than user needs. • ocus on driving the work themselves not utilizing the interviewers enough","• Clearly articulates the ""why"" behind key design decisions (IA, hierarchy, typography), linking them to user needs. • Demonstrated appropriate prototyping fidelity for the goal. • Showed awareness of an existing design system. • Includes interviewers in feedback rounds and adopt or push back on feedback thoughtfully","• Rationally defends complex design decisions by referencing design principles and cognitive models, not just user feedback. • The solution demonstrated contribution to or evolution of the existing design system (e.g., creating a reusable pattern or component)."
,Craft & Visual Design:,"• Can't finish the task, spending too long on process vs execution, bad time management doesn't get to a solution that solves the problem they wanted to solve",• Solves the problem they pose initially partially but can't articulate the next stage.,• Solves the problem they pose initially partially.,• Solves the problem they initialy set up too clearly and has a functioning screen that pitches the core functionality.
,Communication,• Fails to clearly define the problem or user. • Cannot articulate a direct link between the design and measurable business KPIs. • Accepted the brief without question or validation.,"• Clearly defines the problem, target user, and high-level goal. • Articulates the metrics that should be tracked (or were tracked) and their connection to the business. • Showed basic validation efforts.","• Clearly defines the problem, target user, and high-level goal. • Articulates the metrics that should be tracked (or were tracked) and their connection to the business and it's direction • Have a strong validation utilizing AI or research reports to tell the story in a convincing way",• Quantifies impact using specific metrics (KPIs/OKRs) and provides data to support the story. • Demonstrates strategic rigor by proactively seeking data. • Articulated a clear rationale for challenging the initial brief. • Aligns with the compeny's direction and core strengths or articulate diveation.
,Ownership & Drive,"• Design decisions (IA, layout) are arbitrary or based purely on aesthetic preference, lacking a clear rationale. • Prototyping fidelity seems random. • No actively engaging interviewers","• Clearly articulates the ""why"" behind key design decisions (IA, hierarchy, typography), but focusing on self rather than user needs. • ocus on driving the work themselves not utilizing the interviewers enough","• Clearly articulates the ""why"" behind key design decisions (IA, hierarchy, typography), linking them to user needs. • Demonstrated appropriate prototyping fidelity for the goal. • Showed awareness of an existing design system. • Includes interviewers in feedback rounds and adopt or push back on feedback thoughtfully","• Rationally defends complex design decisions by referencing design principles and cognitive models, not just user feedback. • The solution demonstrated contribution to or evolution of the existing design system (e.g., creating a reusable pattern or component)."
Hiring manager,Communication,"• Cannot articulate growth areas. No clear inspiration sources. Self-assessment disconnected from reality or wildly inaccurate.","• Identifies 1-2 growth areas but remains vague. Limited inspiration sources (follows a few designers on social media). Generic role models without specific learnings.","• Honest self-assessment that matches interview performance. Multiple inspiration sources (books, podcasts, conferences). Can connect specific learnings to their work. Has personal projects or side work showing curiosity.","• Exceptional self-awareness with nuanced reflection. Proactively seeks diverse inspiration across design and adjacent fields. Personal projects demonstrate experimentation. Can trace their design philosophy evolution over time."
,Collaboration,"• Generic interest in Deel (""fast-growing company""). Panics under pressure. Cannot articulate how to handle multiple at-risk projects. Blames external factors for past failures.","• Some research on Deel but surface-level. When stressed, defaults to working longer hours without strategy. Knows to cut scope but does it arbitrarily without involving the team.","• Researched Deel's culture, product, and recent news. Under pressure: knows when to cut scope, when to reach out to manager, how to skim feedback and prioritize with PM/Eng/stakeholders. Flexible about extra effort when needed. Asks for another designer when appropriate.","• Deep understanding of Deel's mission and how their skills contribute. Has creative solutions for tight deadlines (phased delivery, MVP approaches, parallel workstreams). Knows exactly when to escalate and what to ask for. Never trenches—always explores options first."
,Ownership & Drive,"• No clear process for tight deadlines. Would freeze if solution was wrong near deadline. Rigid about work-life balance without nuance. Cannot articulate contribution beyond design tasks.","• Has a process but it's generic. Would flag wrong solution but unclear on next steps. Understands flexibility needed but uncomfortable with it. Generic answer about team contribution.","• Clear process for tight deadlines (rapid scoping, stakeholder alignment, focused execution). If solution is wrong: immediately flags, proposes alternatives, rallies team. Understands work-life choice—flexible when needed, sets boundaries when appropriate. Knows what they love (UI, prototyping, data, specific problem types). Has a vision of who they are as a designer.","• Turns 2-day deadline into a strength—knows exactly what to cut and what's essential. Wrong solution? Already has backup thinking. Articulates work-life philosophy thoughtfully. Clear vision of their designer identity and trajectory. Genuinely excited about team opportunities and can articulate preferences clearly."