Assessment Stage,Competency,"Level 1:
Basic Basic awareness and foundational knowledge. Requires close supervision and detailed guidance.","Level 2:
Intermediate Working knowledge and consistent application. Needs periodic supervision and support for complex tasks.","Level 3:
Advanced Comprehensive understanding and independent application. Can handle most complex situations and guide others.","Level 4:
Expert Complete mastery, innovation, and leadership. Sets standards, develops new approaches, and mentors others."
Portfolio,Craft & Visual Design: ,"• Visuals are functional but standard. • Relies heavily on existing templates or systems without adding value. • Prototypes are basic or static. • Lack of personal building or ""builder"" mindset.","• Strong visual craft and professional presentation. • Follows established patterns well and produces clean work. • Includes prototypes, but innovation in tooling or method is limited.",• A portfolio demonstrating exceptional building skills and taste; ability to set new design standards and patterns; masterfully uses advanced prototyping and AI tools.,"• Sets industry benchmarks for craft. • Defines entirely new visual languages or interaction paradigms. • Work is visionary and demonstrates ""builder"" capabilities that rival front-end engineering."
,Product Sense & Strategy:,• Focuses on execution of features handed down. • Understanding of business impact is theoretical or limited to basic metrics. • Reacts to roadmaps rather than shaping them.,"• Connects design work to clear business outcomes. • Can explain the ""why"" behind features. • Projects have impact, but scope is usually limited to a specific product area or feature set.",• Demonstrates deep strategic insight that shapes product roadmaps; identifies and unlocks new business opportunities; decisions transform the platform and drive revenue.,• Defines long-term product vision (1-3 years). • Identify entire market pivots or new business lines through design. • Strategy influences the company's direction at the executive level.
,Communication,"• Communication is clear but linear. • Explains ""what"" was done but misses the persuasive ""why."" Struggles to engage senior stakeholders or summarize complex context.","• Communication shows some structure but lacks depth or consistency. • Explanations are partial or overly wordy, suggesting excessive reliance on AI-generated text.",• Synthesizes complex ambiguity into clear strategic direction; ensures alignment across diverse stakeholders through persuasive narrative; articulates trade-offs effectively to unblock decision-making.,• Acts as a strategic partner to executive leadership; uses communication to fundamentally shift organizational culture or product vision; narrative skills are so compelling they serve as a primary driver for business strategy.
,User-centered problem solving,"• Focuses primarily on surface-level execution; accepts briefs without questioning or validating the underlying problem. • Process is linear, lacking rigor in research or validation. • Fails to anticipate edge cases or technical constraints, resulting in brittle solutions.","• Applies a structured, standard UX process to solve well-defined problems effectively. • Conducts research and validation for specific features. • However, the scope is often limited to a single workflow, lacking connection to the broader product ecosystem or deeper business strategy.",• Thrives in high ambiguity to define and solve systemic problems; connects user needs across multiple product surfaces; solutions address root causes rather than symptoms and account for technical scalability.,• Pioneers new problem-solving frameworks or methodologies for the organization; identifies and solves user problems that require a pivot in business strategy; sets the industry standard for user-centric innovation.
Talent interview,Experience and background,• Clearly below Staff level; no experience influencing org-wide decisions or shaping standards.,• Has Staff-level experience but no history of org-level ownership or long-term systems thinking.,"• Has deep multi-domain experience, sets standards, and influences multiple teams; strong long-term product thinking.","• Exceptional track record: shapes organization-wide design vision, defines standards, creates frameworks, and mentors at Staff+ level."
,Product Sense & Strategy:,• No strategic clarity; cannot discuss product vision or long-term impacts.,• Understands strategy but cannot influence it; lacks long-term foresight or data-driven reasoning.,• Shapes product strategy across teams; identifies risks/opportunities; aligns design decisions with business outcomes.,• Operates as a strategic thought partner to executives; creates long-term vision; impacts portfolios or product lines.
,Collaboration,• Unable to lead alignment; creates friction across org; lacks cross-functional credibility.,• Participates but does not lead multi-team collaboration; limited influence beyond the squad.,"• Drives alignment across org, resolves conflicts, establishes repeatable processes, and becomes a trusted partner for leadership.","• Transforms collaboration culture; builds cross-org systems, governance, and alignment structures; highly influential."
,Communication,• Unable to communicate complex ideas clearly or influence decision-makers.,• Communicates but not at executive-ready level; messaging lacks vision or structure.,"• Influences senior stakeholders through clear, strategic storytelling; sets communication patterns.","• World-class communicator; shapes narratives at exec & org level; inspires teams with clarity, vision, and persuasion."
,Ownership & Drive,• No history of org-level ownership; avoids big challenges; waits for direction.,• Has Staff-level ownership but does not scale to org-wide opportunities; limited initiative.,• Owns org-level initiatives; drives long-term product quality; sponsors scalable improvements and mentors leaders.,"• Behaves like a design executive: defines org priorities, leads transformations, scales systems, and creates compounding impact across teams."
Case study,Craft & Visual Design: ,"• The chosen problem is vague, trivial, or lacks strategic alignment with the app's business goals. • Assumptions about the user are generic, and there's no clear plan for validation.","• Clearly defines a specific, relevant user problem and articulates a reasonable connection to business goals and market position. • Identifies key user flows, assumptions, and proposes a basic, logical validation approach.","• Defines a highly strategic problem that addresses a significant user need and a clear business opportunity. • Proactively integrates external/competitive learnings. • Proposes a comprehensive, insightful validation strategy that minimizes risk.","• Transforms the task's premise by identifying a deeper, systemic root problem or a completely untapped opportunity that drives new business value (e.g., a platform play vs. • a feature). • The solution is inherently scalable and sets up future strategic work."
,Product Sense & Strategy:,"• Visual design, layout, or Information Architecture (IA) is inconsistent, inefficient, or lacks a clear, justifiable rationale. • Struggles to utilize the design tool efficiently. • Low output fidelity for the time constraint.","• Delivers a functional prototype with clear visual hierarchy and layout. • Explains design decisions (IA, typography, etc.) with solid, logical rationale. • Demonstrates efficient use of the chosen tool and achieves the stated fidelity goal.","• Demonstrates exceptional efficiency and mastery of the design tool, maximizing output within the time limit. • Visual design is polished, systematic, and shows an understanding of the existing design system. • Proactively identifies and focuses on the core essence/priority area for maximum impact.","• Establishes a new bar for the solution's quality and efficiency. • The execution not only follows the design system but proposes strategic improvements or extensions to the system itself, demonstrating a contribution to the team's infrastructure (e.g., new component or pattern)."
,Collaboration,• Becomes defensive or struggles to articulate how they would integrate feedback. • Communication of rationale is purely aesthetic or unstructured. • Fails to identify system impacts.,"• Accepts feedback gracefully and articulates a considered response/plan for incorporation. • Communicates design rationale clearly, framing it for different team members (PM, Eng). • Identifies the main interaction patterns and potential system impacts.",• The final output can function as an initial pitch that shows the promise of a feature. • It is of decent fidelity that people who can't understand wireframes can feel it and understand where it's going. • The information architecute isn't going to change and visual is decent,"• Frames the design discussion as a strategic conversation, leading the ""stakeholders"" (interviewers) through trade-offs and risks with confidence. • Proactively engineers alignment by defining the success criteria for PM and the technical requirements for Engineering in the design presentation itself."
,Communication,• Poor time management; fails to deliver a working prototype or core flow within the constraint. • Lacks critical self-reflection. • Limited or generic vision for next steps or selling the feature.,"• Manages time effectively to complete the core deliverable. • Articulates clear self-critique and identifies logical areas for future iteration (""if I had more time""). • Proposes a logical next feature and delivers a concise internal/external pitch.","• Demonstrates proactive, continuous self-critique and risk mitigation during the task (e.g., immediately pointing out new issues created by the current solution). • Highly effective time management with clear prioritization. • Visionary outlook, suggesting strategic next features that compound value and demonstrating a strong understanding of product positioning.","• Exhibits end-to-end product ownership and business acumen. • The candidate identifies a long-term roadmap derived from the task, showcasing not just next steps, but concurrent steps and resourcing needs. • Their pitch connects the feature directly to a $ or market impact statement."
,Ownership & Drive,• Cannot articulate a clear reflection on the process. • Blames constraints for shortcomings. • No clear or actionable learning is identified.,"• Reflects on the process, identifying one or two things that went well and one actionable area for improvement (e.g., time management, specific design choice). • Shows an ability to learn from the experience.","• Offers deep and insightful reflection, demonstrating clear self-awareness of approach, strengths, and weaknesses. • Articulates specific, strategic, and actionable changes for a future process. • Clearly connects any preparation done to the final outcome.","• Uses reflection as a teaching moment. • The candidate can articulate universal design principles or frameworks they successfully (or unsuccessfully) applied during the task, providing abstract learnings that could benefit the wider team or product design discipline."
Co working,Product Sense & Strategy:,• Fails to clearly define the problem or user. • Cannot articulate a direct link between the design and measurable business KPIs. • Accepted the brief without question or validation.,"• Clearly defines the problem, target user, and high-level goal. • Articulates the metrics that should be tracked (or were tracked) and their connection to the business. • Showed basic validation efforts.","• Clearly defines the problem, target user, and high-level goal. • Articulates the metrics that should be tracked (or were tracked) and their connection to the business and it's direction • Have a strong validation utilizing AI or research reports to tell the story in a convincing way",• Quantifies impact using specific metrics (KPIs/OKRs) and provides data to support the story. • Demonstrates strategic rigor by proactively seeking data. • Articulated a clear rationale for challenging the initial brief. • Aligns with the compeny's direction and core strengths or articulate diveation.
,Collaboration,"• Design decisions (IA, layout) are arbitrary or based purely on aesthetic preference, lacking a clear rationale. • Prototyping fidelity seems random. • No actively engaging interviewers","• Clearly articulates the ""why"" behind key design decisions (IA, hierarchy, typography), but focusing on self rather than user needs. • ocus on driving the work themselves not utilizing the interviewers enough","• Clearly articulates the ""why"" behind key design decisions (IA, hierarchy, typography), linking them to user needs. • Demonstrated appropriate prototyping fidelity for the goal. • Showed awareness of an existing design system. • Includes interviewers in feedback rounds and adopt or push back on feedback thoughtfully","• Rationally defends complex design decisions by referencing design principles and cognitive models, not just user feedback. • The solution demonstrated contribution to or evolution of the existing design system (e.g., creating a reusable pattern or component)."
,Craft & Visual Design: ,"• Can't finish the task, spending too long on process vs execution, bad time management doesn't get to a solution that solves the problem they wanted to solve",• Solves the problem they pose initially partially but can't articulate the next stage.,• Solves the problem they pose initially partially.,• Solves the problem they initialy set up too clearly and has a functioning screen that pitches the core functionality.
,Communication,• Fails to clearly define the problem or user. • Cannot articulate a direct link between the design and measurable business KPIs. • Accepted the brief without question or validation.,"• Clearly defines the problem, target user, and high-level goal. • Articulates the metrics that should be tracked (or were tracked) and their connection to the business. • Showed basic validation efforts.","• Clearly defines the problem, target user, and high-level goal. • Articulates the metrics that should be tracked (or were tracked) and their connection to the business and it's direction • Have a strong validation utilizing AI or research reports to tell the story in a convincing way",• Quantifies impact using specific metrics (KPIs/OKRs) and provides data to support the story. • Demonstrates strategic rigor by proactively seeking data. • Articulated a clear rationale for challenging the initial brief. • Aligns with the compeny's direction and core strengths or articulate diveation.
,Ownership & Drive,"• Design decisions (IA, layout) are arbitrary or based purely on aesthetic preference, lacking a clear rationale. • Prototyping fidelity seems random. • No actively engaging interviewers","• Clearly articulates the ""why"" behind key design decisions (IA, hierarchy, typography), but focusing on self rather than user needs. • ocus on driving the work themselves not utilizing the interviewers enough","• Clearly articulates the ""why"" behind key design decisions (IA, hierarchy, typography), linking them to user needs. • Demonstrated appropriate prototyping fidelity for the goal. • Showed awareness of an existing design system. • Includes interviewers in feedback rounds and adopt or push back on feedback thoughtfully","• Rationally defends complex design decisions by referencing design principles and cognitive models, not just user feedback. • The solution demonstrated contribution to or evolution of the existing design system (e.g., creating a reusable pattern or component)."